jday,jday_day,jday_time,Fd_7098,Fd_7085,dV_ 7098,dV_7085
208.4791667,208,0.479166667,0.036058408,NaN,-0.223,NaN
208.4861111,208,0.486111111,0.03115289,NaN,-0.226,NaN
208.4930556,208,0.493055556,0.026511216,NaN,-0.229,NaN
208.5,208,0.5,0.031184851,NaN,-0.226,NaN
208.5069444,208,0.506944444,0.04493331,NaN,-0.218,NaN
208.5138889,208,0.513888889,0.0449503,NaN,-0.218,NaN
208.5208333,208,0.520833333,0.04870632,NaN,-0.216,NaN
208.5277778,208,0.527777778,0.058629652,NaN,-0.211,NaN
208.5347222,208,0.534722222,0.064987048,NaN,-0.208,NaN
208.5416667,208,0.541666667,0.071654401,NaN,-0.205,NaN
208.5486111,208,0.548611111,0.065022166,NaN,-0.208,NaN
208.5555556,208,0.555555556,0.065039218,NaN,-0.208,NaN
208.5625,208,0.5625,0.069455111,NaN,-0.206,NaN
208.5694444,208,0.569444444,0.062924255,NaN,-0.209,NaN
208.5763889,208,0.576388889,0.069488248,NaN,-0.206,NaN
208.5833333,208,0.583333333,0.069504301,NaN,-0.206,NaN
208.5902778,208,0.590277778,0.07177287,NaN,-0.205,NaN
208.5972222,208,0.597222222,0.067317538,NaN,-0.207,NaN
208.6041667,208,0.604166667,0.065149155,NaN,-0.208,NaN
208.6111111,208,0.611111111,0.067346922,NaN,-0.207,NaN
208.6180556,208,0.618055556,0.067361109,NaN,-0.207,NaN
208.625,208,0.625,0.069593429,NaN,-0.206,NaN
208.6319444,208,0.631944444,0.065204616,NaN,-0.208,NaN
208.6388889,208,0.638888889,0.058870115,NaN,-0.211,NaN
208.6458333,208,0.645833333,0.056833279,NaN,-0.212,NaN
208.6527778,208,0.652777778,0.065242737,NaN,-0.208,NaN
208.6597222,208,0.659722222,0.065254787,NaN,-0.208,NaN
208.6666667,208,0.666666667,0.061000062,NaN,-0.21,NaN
208.6736111,208,0.673611111,0.056878742,NaN,-0.212,NaN
208.6805556,208,0.680555556,0.049015092,NaN,-0.216,NaN
